rcid,country_code,disaster_before_vote,number_disasters,total_affected
9060,SG,0,0,0
9060,SK,0,0,0
9060,SI,0,0,0
9060,SB,0,0,0
9060,ZA,1,5,754598
9060,ES,1,4,3520
9060,LK,1,6,754695
9060,SD,1,2,352576
9060,SR,0,0,0
9060,SE,0,0,0
9060,CH,0,0,0
9060,SY,1,1,235002
9060,TJ,1,1,6754
9060,TH,1,2,158019
9060,TL,0,0,0
9060,TG,0,0,0
9060,TT,0,0,0
9060,TN,0,0,0
9060,TR,1,3,15308
9060,TM,0,0,0
9060,UG,1,5,78727
9060,UA,0,0,0
9060,AE,0,0,0
9060,GB,1,1,101
9060,TZ,1,4,5047
9060,US,1,6,17878
9060,UY,1,3,13103
9060,UZ,0,0,0
9060,VU,0,0,0
9060,VE,1,1,2006
9060,VN,1,6,810623
9060,YE,1,3,80526
9060,ZM,1,1,4
9060,ZW,1,1,26
